"date","pred","ci_min","ci_max","total_add","add_min","add_max"
2022-04-24,503518.211591103,501192.992984098,505866.132972869,16829.2442141026,12285.9290250089,21395.2621779573
2022-04-25,518811.59235632,516235.702030383,521476.596041719,15293.3807652165,12824.6124641966,17828.5596509383
2022-04-26,533837.934991843,530765.544543578,537121.727003151,15026.3426355229,12311.7459311066,17863.2275435201
2022-04-27,547711.389099721,543707.972172,552121.949795261,13873.4541078786,10724.3310463331,17218.319374199
2022-04-28,560450.319721334,554768.72545056,566930.453948911,12738.9306216129,8842.65669647173,17026.6007357382
2022-04-29,571403.248312602,562918.170785413,581306.944600675,10952.9285912676,5931.34875276486,16594.5872338531
2022-04-30,579884.258877937,566886.732515457,595208.231785178,8481.01056533505,1750.46514795522,16119.3837665907
2022-05-01,585635.553261416,567015.306217309,608588.49527175,5751.29438347905,0,15598.3600686611
2022-05-02,590221.486564625,567015.306217309,621379.872111986,4585.93330320925,0,15009.4734223245
2022-05-03,594430.551960168,567015.306217309,633515.480473219,4209.06539554265,0,14353.7049433208
2022-05-04,598342.23292753,567015.306217309,644908.460722971,3911.68096736236,0,13611.0768318409
2022-05-05,601945.650408519,567015.306217309,655458.82159886,3603.41748098889,0,12768.4574579779
2022-05-06,605204.91068613,567015.306217309,665042.917095044,3259.26027761062,0,11802.1920782718
2022-05-07,608074.541341052,567015.306217309,673508.868411393,2869.63065492257,0,10684.0478984382
2022-05-08,609845.02244616,567015.306217309,678748.883982246,1770.48110510735,0,7458.11215294095
2022-05-09,609921.439817943,566928.33296913,679062.861776017,76.417371783522,0,2619.04762403791
2022-05-10,609921.439817943,566837.94943397,679153.245311177,0,0,2485.83690058784
2022-05-11,609921.439817943,566744.02189189,679247.172853257,0,0,2583.3084495869
2022-05-12,609921.439817943,566646.411379693,679344.783365454,0,0,2684.60193190051
2022-05-13,609921.439817943,566544.97348533,679446.221259817,0,0,2789.86720843041
2022-05-14,609921.439817943,566439.558134245,679551.636610902,0,0,2899.26001623827
2022-05-15,609921.439817943,566330.009367344,679661.185377803,0,0,3012.94219895387
2022-05-16,609921.439817943,566216.165110261,679775.029634886,0,0,3131.08194621884
2022-05-17,609921.439817943,566097.856933571,679893.337811576,0,0,3253.85404251726
2022-05-18,609921.439817943,565974.909803601,680016.284941546,0,0,3381.44012576611
2022-05-19,609921.439817943,565847.141823478,680144.052921669,0,0,3514.02895604229
2022-05-20,609921.439817943,565714.363964013,680276.830781134,0,0,3651.81669484877
2022-05-21,609921.439817943,565576.379784041,680414.814961106,0,0,3795.00719532914
