inbound_confirmed,inbound_asymp,outbound_confirmed,outbound_asymp,date,cure,relieve,
0,0,9,1,2022-02-16,19,0,
0,0,13,0,2022-02-17,16,0,
0,0,18,3,2022-02-18,11,0,
0,0,23,0,2022-02-19,13,0,
0,2,27,3,2022-02-20,3,0,
0,0,32,1,2022-02-21,7,0,
0,0,49,8,2022-02-22,10,0,
0,0,24,8,2022-02-23,8,0,
0,1,59,22,2022-02-24,8,0,
0,1,55,19,2022-02-25,10,0,
0,1,43,11,2022-02-26,11,0,
0,1,45,10,2022-02-27,10,0,
0,3,40,12,2022-02-28,12,0,
1,1,37,17,2022-03-01,8,1,
3,5,39,19,2022-03-02,8,2,
2,14,43,21,2022-03-03,9,1,
3,16,24,10,2022-03-04,12,0,
0,28,25,10,2022-03-05,8,4,
3,45,32,16,2022-03-06,65,16,
4,51,36,10,2022-03-07,27,10,
3,62,26,10,2022-03-08,32,7,
4,76,42,16,2022-03-09,18,13,
11,64,32,10,2022-03-10,17,7,
5,78,22,9,2022-03-11,20,3,
1,64,13,1,2022-03-12,26,11,
41,128,16,2,2022-03-13,33,5,
9,130,12,3,2022-03-14,15,9,
5,197,10,1,2022-03-15,33,13,
8,150,15,6,2022-03-16,33,19,
57,203,10,2,2022-03-17,54,38,
8,366,12,6,2022-03-18,26,15,
17,492,5,2,2022-03-19,121,68,
24,734,17,2,2022-03-20,44,53,
31,865,8,3,2022-03-21,140,186,
4,977,10,4,2022-03-22,23,79,
4,979,10,3,2022-03-23,81,230,
29,1580,12,5,2022-03-24,63,209,
38,2231,9,2,2022-03-25,21,110,
45,2631,6,2,2022-03-26,33,0,
50,3450,10,4,2022-03-27,37,0,
96,4381,11,1,2022-03-28,28,0,
326,5656,3,2,2022-03-29,45,0,
355,5298,3,1,2022-03-30,29,0,
358,4144,7,1,2022-03-31,26,0,
260,6051,2,0,2022-04-01,39,0,
438,7788,6,1,2022-04-02,31,0,
425,8581,8,4,2022-04-03,30,0,
268,13086,3,2,2022-04-04,27,0,
311,16766,4,1,2022-04-05,41,0,
322,19660,7,1,2022-04-06,47,0,
824,20398,4,3,2022-04-07,57,0,
1015,22609,2,2,2022-04-08,119,0,
1006,23937,9,2,2022-04-09,227,0,
914,25173,3,0,2022-04-10,298,0,
994,22348,4,1,2022-04-11,391,0,
1189,25141,1,0,2022-04-12,341,0,
2573,25146,0,1,2022-04-13,741,15406,
3200,19872,0,1,2022-04-14,549,8071,
3590,19923,4,2,2022-04-15,0,0,
3238,21582,2,0,2022-04-16,0,0,
2417,19831,3,0,2022-04-17,0,0,
3084,16358,0,2,2022-04-18,0,0,
2494,16407,1,1,2022-04-19,0,0,
2634,15861,1,2,2022-04-20,0,0,
1931,15698,0,0,2022-04-21,0,0,
2736,20634,0,1,2022-04-22,0,0,
1401,19657,0,0,2022-04-23,0,0,
2472,16983,0,1,2022-04-24,0,0,846
1661,15319,0,0,2022-04-25,0,0,968
1606,11956,0,0,2022-04-26,0,0,1253
1292,9330,0,0,2022-04-27,0,0,858
5487,9545,2,2,2022-04-28,0,0,5062
1249,8932,1,0,2022-04-29,0,0,985
788,7084,1,2,2022-04-30,0,0,683
727,6606,2,2,2022-05-01,0,0,529
274,5395,0,1,2022-05-02,0,0,155
260,4722,3,1,2022-05-03,0,0,151
261,4390,2,0,2022-05-04,0,0,185
245,4024,0,2,2022-05-05,0,0,181
253,3961,0,0,2022-05-06,0,0,175
215,3760,2,0,2022-05-07,0,0,135
322,3625,2,1,2022-05-08,0,0,230
234,2780,0,3,2022-05-09,0,0,156
228,1259,1,1,2022-05-10,0,0,198
144,1305,0,1,2022-05-11,0,0,106
227,1869,0,2,2022-05-12,0,0,167
194,1487,1,0,2022-05-13,0,0,140
166,1203,2,2,2022-05-14,0,0,111
69,869,1,0,2022-05-15,0,0,42
